"","searched_keyword","n","sum_hate","perc_hate"
"1","ambazonia",84,23,0.273809523809524
"2","bamenda",111,16,0.144144144144144
"3","bamileke",40,8,0.2
"4","bayangi",6,1,0.166666666666667
"5","biafra",30,8,0.266666666666667
"6","blackleg",1,1,1
"7","cam no go",1,1,1
"8","mouton",22,7,0.318181818181818
"9","rat",37,2,0.0540540540540541
"10","sardinard",15,10,0.666666666666667
"11","terrorist",14,4,0.285714285714286
"12","tontinard",4,1,0.25
"13","toupouri",3,0,0
"14","wadjo",6,4,0.666666666666667
