"","searched_keyword","n","sum_hate","perc_hate"
"1","bouda",3,0,0
"2","boule kay",3,0,0
"3","bouzen",10,6,0.6
"4","chen",26,2,0.0769230769230769
"5","dyòl santi",1,1,1
"6","gang",22,3,0.136363636363636
"7","kochon",23,2,0.0869565217391304
"8","kokorat",5,0,0
"9","koupe tèt",11,2,0.181818181818182
"10","krèy",2,2,1
"11","limena",1,0,0
"12","madivin",3,1,0.333333333333333
"13","malpouwont",1,0,0
"14","masisi",4,3,0.75
"15","mèsenè",11,0,0
"16","phtk",15,2,0.133333333333333
"17","rache",8,1,0.125
"18","rès moun",3,0,0
"19","salòp",4,1,0.25
"20","sangwen",1,0,0
"21","sanwont",5,1,0.2
"22","tchoul",3,0,0
"23","ti grangou",9,1,0.111111111111111
"24","ti kaka",2,0,0
"25","ti sousou",1,0,0
"26","tire w",5,0,0
"27","visye",3,0,0
"28","vòlè",16,2,0.125
