"","endDate","searched_keyword","measure","value","hist_mean","lowCI","hiCI","low25","hi975","interpretation","col","label"
"1",2021-11-12,"akrena","hitCount",0,0.0392156862745098,-0.0159212305282562,0.0943526030772758,NA,0.75,"about average","#FFA000","Num. Posts:
about average"
"2",2021-11-12,"azizwèl","hitCount",0,0.0588235294117647,-0.0285333261099403,0.14618038493347,NA,0.75,"about average","#FFA000","Num. Posts:
about average"
"3",2021-11-12,"bendezwèl","hitCount",0,0,0,0,NA,0,"about average","#FFA000","Num. Posts:
about average"
"4",2021-11-12,"benezwèl","hitCount",0,0.0196078431372549,-0.0197756688647208,0.0589913551392306,NA,0,"about average","#FFA000","Num. Posts:
about average"
"5",2021-11-12,"benndezwèl","hitCount",0,0,0,0,NA,0,"about average","#FFA000","Num. Posts:
about average"
"6",2021-11-12,"bouda","hitCount",16,5.66666666666667,4.84635434085422,6.48697899247911,NA,11.75,"higher than average","#E64819","Num. Posts:
higher than average"
"7",2021-11-12,"boule kay","hitCount",1,0.666666666666667,0.393015015967828,0.940318317365506,NA,3,"higher than average","#E64819","Num. Posts:
higher than average"
"8",2021-11-12,"boulekay","hitCount",0,0,0,0,NA,0,"about average","#FFA000","Num. Posts:
about average"
"9",2021-11-12,"bouzen","hitCount",4,4.41176470588235,3.61392045941125,5.20960895235346,NA,10,"about average","#FFA000","Num. Posts:
about average"
"10",2021-11-12,"chawony","hitCount",0,0.196078431372549,0.0180231388369336,0.374133723908164,NA,2.5,"lower than average","#4CAF50","Num. Posts:
lower than average"
"11",2021-11-12,"chen","hitCount",6,9.11764705882353,7.86406300476034,10.3712311128867,NA,17.75,"lower than average","#4CAF50","Num. Posts:
lower than average"
"12",2021-11-12,"chichiman","hitCount",0,0.0392156862745098,-0.0395513377294416,0.117982710278461,NA,0,"about average","#FFA000","Num. Posts:
about average"
"13",2021-11-12,"dlo dan w","hitCount",0,0,0,0,NA,0,"about average","#FFA000","Num. Posts:
about average"
"14",2021-11-12,"dlodanw","hitCount",0,0,0,0,NA,0,"about average","#FFA000","Num. Posts:
about average"
"15",2021-11-12,"dwèt long","hitCount",0,0.313725490196078,-0.0118025250700413,0.639253505462198,NA,3.5,"about average","#FFA000","Num. Posts:
about average"
"16",2021-11-12,"dwètlong","hitCount",0,0,0,0,NA,0,"about average","#FFA000","Num. Posts:
about average"
"17",2021-11-12,"dyòl santi","hitCount",0,0,0,0,NA,0,"about average","#FFA000","Num. Posts:
about average"
"18",2021-11-12,"dyòlsanti","hitCount",0,0,0,0,NA,0,"about average","#FFA000","Num. Posts:
about average"
"19",2021-11-12,"gang","hitCount",130,59.5098039215686,48.3550389012912,70.6645689418461,NA,172.25,"higher than average","#E64819","Num. Posts:
higher than average"
"20",2021-11-12,"kalanbè","hitCount",0,0.196078431372549,0.0271419855592798,0.365014877185818,NA,2,"lower than average","#4CAF50","Num. Posts:
lower than average"
"21",2021-11-12,"kochon","hitCount",6,6.66666666666667,4.9654448192939,8.36788851403943,NA,20,"about average","#FFA000","Num. Posts:
about average"
"22",2021-11-12,"kokorat","hitCount",4,1.11764705882353,0.750302113939229,1.48499200370783,NA,4.75,"higher than average","#E64819","Num. Posts:
higher than average"
"23",2021-11-12,"kolokent","hitCount",0,0,0,0,NA,0,"about average","#FFA000","Num. Posts:
about average"
"24",2021-11-12,"koupe tèt","hitCount",1,0.92156862745098,0.497468361473667,1.34566889342829,NA,6,"about average","#FFA000","Num. Posts:
about average"
"25",2021-11-12,"koupetèt","hitCount",0,0,0,0,NA,0,"about average","#FFA000","Num. Posts:
about average"
"26",2021-11-12,"krèy","hitCount",2,3.15686274509804,2.22511177365957,4.08861371653651,NA,11.75,"lower than average","#4CAF50","Num. Posts:
lower than average"
"27",2021-11-12,"limena","hitCount",4,1.52941176470588,1.11470506638456,1.9441184630272,NA,5,"higher than average","#E64819","Num. Posts:
higher than average"
"28",2021-11-12,"madivin","hitCount",1,1.23529411764706,0.855493282158631,1.61509495313549,NA,4,"about average","#FFA000","Num. Posts:
about average"
